"","h2=0.002","h2=0.006","h2=0.01","h2=0.014","h2=0.018","h2=0.022","h2=0.026","h2=0.03","h2=0.04","h2=0.12"
"h1=0.05",6380.35270478325,6057.18671738457,5742.60721132253,5635.89029514551,5628.54675645342,5624.67876508324,5622.24339982154,5622.85073004101,5679.08946114388,5692.09107687465
"h1=0.1",4932.94763003669,4844.39292301503,4797.1365123914,4801.3483258909,4810.20472557197,4815.35219534963,4817.74541057429,4820.95101930873,4826.40770182368,4830.02802963886
"h1=0.15",4839.28346769542,4726.66387011006,4688.76588758019,4693.8775329416,4703.45957771972,4707.42408713568,4710.05497068123,4712.28735053362,4718.62850190366,4722.96779329039
"h1=0.2",4807.5090057404,4695.62966275207,4657.21130555334,4662.80863786328,4672.56156513388,4678.18303259587,4681.36289524949,4683.92149116779,4691.23846455793,4696.54553682689
"h1=0.25",4840.2420741271,4723.66405839821,4684.05048144932,4690.26429466692,4698.45296558126,4703.52070093853,4708.75289503312,4712.20671047908,4720.5597808573,4725.62409390918
"h1=0.3",4916.91559480148,4790.97734459214,4748.38397158477,4755.37008858496,4763.30043856504,4768.39968698198,4772.74726515758,4778.28244064832,4788.27561640727,4792.6615210079
"h1=0.35",5022.91918220365,4879.71441206047,4836.31955748194,4844.7088827542,4852.58756541609,4856.3224923426,4860.13576903893,4864.83230390001,4878.63584154313,4881.97462838539
"h1=0.4",5136.72931962346,4976.69215654443,4936.10434467519,4946.65544436515,4953.00111802701,4957.71478578157,4960.81405464737,4965.74920769145,4979.96178914954,4981.4455569546
"h1=0.45",5247.7360081882,5073.5810617908,5037.46400142647,5052.16341605815,5058.13576022977,5062.57288904413,5064.85780322348,5068.48302739167,5083.91548729522,5083.35665556691
"h1=0.5",5352.46249710342,5166.45492932754,5135.56477568645,5154.33708891512,5161.64050826724,5166.19022738829,5168.52967196562,5171.44792198869,5186.23529155662,5183.91771238548
