"","n"," ","t=0.4","t=0.6","t=0.8"
"1","60","alpha_1","95.3 (1.06)","93.7 (1.61)","94.0 (1.50)"
"2","60","alpha_n/2+1","94.0 (1.62)","93.8 (1.71)","93.0 (1.44)"
"3","60","beta_1","92.7 (1.17)","94.2 (1.63)","94.0 (1.36)"
"4","60","beta_n/2+1","94.3 (1.22)","95.6 (1.65)","93.5 (1.68)"
"5","60","gamma1","92.1 (0.36)","91.8 (0.48)","90.3 (0.36)"
"6","100","alpha_1","94.4 (1.00)","92.9 (1.58)","92.9 (1.44)"
"7","100","alpha_n/2+1","94.0 (1.63)","92.7 (1.67)","93.6 (1.38)"
"8","100","beta_1","92.7 (1.12)","94.0 (1.62)","94.8 (1.29)"
"9","100","beta_n/2+1","94.5 (1.18)","93.0 (1.62)","95.3 (1.66)"
"10","100","gamma1","92.1 (0.29)","93.2 (0.40)","91.6 (0.30)"
"11","200","alpha_1","94.6 (0.95)","93.4 (1.55)","94.0 (1.39)"
"12","200","alpha_n/2+1","94.3 (1.64)","95.7 (1.66)","94.8 (1.30)"
"13","200","beta_1","91.0 (1.08)","94.2 (1.59)","94.8 (1.22)"
"14","200","beta_n/2+1","94.9 (1.16)","94.5 (1.61)","93.2 (1.63)"
"15","200","gamma1","92.6 (0.22)","93.3 (0.31)","92.5 (0.23)"
"16","500","alpha_1","95.8 (0.92)","95.0 (1.55)","93.4 (1.33)"
"17","500","alpha_n/2+1","94.8 (1.69)","94.2 (1.65)","94.9 (1.23)"
"18","500","beta_1","91.9 (1.07)","92.7 (1.62)","95.6 (1.14)"
"19","500","beta_n/2+1","94.7 (1.15)","95.4 (1.58)","95.3 (1.59)"
"20","500","gamma1","93.4 (0.15)","92.1 (0.22)","93.2 (0.16)"
